timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
274606.0,-0.82,-0.51,0.02,11.11,4.27,115.36
274616.0,-0.85,-0.63,0.03,2.62,4.09,115.84
274626.0,-0.89,-0.62,0.05,12.02,3.42,115.17
274636.0,-0.89,-0.57,0.02,12.15,2.62,114.01
274646.0,-0.82,-0.47,0.06,7.51,3.23,112.55
274656.0,-0.82,-0.53,0.1,0.31,3.6,116.27
274666.0,-0.94,-0.54,0.11,1.77,3.6,113.53
274676.0,-0.98,-0.48,0.0,4.27,4.58,116.27
274686.0,-0.9,-0.44,0.12,7.93,3.85,113.95
274696.0,-0.88,-0.48,0.07,6.59,3.78,113.1
274706.0,-0.89,-0.41,0.03,11.05,5.13,112.49
274716.0,-1.0,-0.36,0.11,6.77,4.46,115.54
274726.0,-0.97,-0.44,-0.01,7.93,3.97,113.83
274736.0,-0.93,-0.37,0.1,1.89,5.55,112.18
274746.0,-0.98,-0.34,0.04,11.17,4.82,114.62
274756.0,-0.98,-0.37,0.08,9.46,4.46,114.01
274766.0,-1.03,-0.33,0.03,9.58,4.52,113.1
274776.0,-0.95,-0.24,0.04,11.72,4.27,112.3
274786.0,-1.01,-0.25,0.07,10.86,3.48,111.88
274796.0,-0.98,-0.2,-0.06,9.89,3.85,108.52
274806.0,-1.0,-0.26,0.23,-21.24,7.26,111.45
274816.0,-0.89,-0.26,0.11,2.81,5.07,112.0
274826.0,-1.0,-0.17,0.01,21.85,4.27,108.64
274836.0,-0.94,-0.14,0.04,9.46,2.32,109.19
274846.0,-0.99,-0.1,0.09,1.46,5.0,109.25
274856.0,-0.97,-0.15,0.06,4.39,4.27,109.13
274866.0,-1.06,-0.08,0.05,5.8,4.27,109.8
274876.0,-1.02,-0.1,0.09,4.27,4.52,107.18
274886.0,-1.0,-0.06,0.08,8.0,3.97,107.54
274896.0,-1.03,-0.08,0.1,6.35,2.81,108.15
274906.0,-0.95,-0.01,-0.02,17.4,1.28,104.49
274916.0,-0.99,-0.05,0.09,2.99,5.86,107.42
274926.0,-0.99,-0.03,0.02,12.21,1.34,106.69
274936.0,-1.07,-0.01,0.11,4.39,2.81,110.78
274946.0,-1.02,0.07,0.03,4.39,3.97,109.56
274956.0,-1.0,-0.02,0.04,1.16,3.97,110.41
274966.0,-1.05,0.1,0.1,8.73,3.91,107.18
274976.0,-1.06,0.05,0.09,6.53,2.75,110.11
274986.0,-0.98,0.11,0.03,11.29,1.71,107.18
274996.0,-0.94,0.11,-0.0,10.99,1.65,107.54
275006.0,-1.01,0.15,0.06,8.06,1.89,106.51
275016.0,-0.99,0.2,0.07,8.85,3.23,106.99
275026.0,-0.95,0.18,0.04,8.61,1.65,106.99
275036.0,-1.03,0.17,0.01,0.98,5.8,107.36
275046.0,-0.99,0.25,0.05,6.53,2.62,106.2
275056.0,-0.96,0.18,0.12,1.28,4.58,106.2
275066.0,-1.02,0.26,0.09,9.4,2.56,106.75
275076.0,-0.91,0.26,0.04,3.23,4.46,105.83
275086.0,-0.93,0.24,0.06,-0.06,7.69,107.67
275096.0,-0.98,0.3,0.09,11.6,3.54,106.69
275106.0,-0.96,0.34,0.05,14.59,2.32,107.36
275116.0,-0.95,0.41,0.03,15.5,1.4,106.2
275126.0,-0.9,0.35,0.02,1.46,6.53,108.52
275136.0,-0.95,0.38,0.1,2.93,4.82,108.03
275146.0,-0.94,0.42,0.02,11.78,2.2,104.98
275156.0,-0.96,0.41,0.12,4.03,3.48,106.99
275166.0,-0.91,0.41,0.01,5.92,3.3,106.93
275176.0,-0.92,0.47,0.01,6.84,4.52,105.65
275186.0,-0.89,0.44,0.06,5.55,5.68,104.98
275196.0,-0.91,0.45,0.06,9.46,3.85,105.1
275206.0,-0.89,0.47,0.04,9.4,3.23,108.4
275216.0,-0.87,0.45,0.03,4.76,4.46,108.7
275226.0,-0.93,0.58,0.0,13.61,1.22,105.41
275236.0,-0.88,0.56,0.07,-0.31,7.02,108.58
275246.0,-0.84,0.49,0.09,-1.04,8.67,110.41
275256.0,-0.87,0.57,0.1,11.78,3.48,105.77
275266.0,-0.79,0.59,0.04,11.23,3.42,106.02
275276.0,-0.86,0.61,0.09,8.0,5.62,107.91
275286.0,-0.74,0.57,0.03,1.1,7.45,110.17
275296.0,-0.74,0.56,0.12,0.67,8.42,109.86
275306.0,-0.73,0.71,0.08,14.65,2.08,107.91
275316.0,-0.76,0.65,0.08,4.03,6.29,109.13
275326.0,-0.71,0.68,0.11,5.19,6.29,108.58
275336.0,-0.75,0.65,0.07,3.11,7.51,110.72
275346.0,-0.75,0.7,0.11,4.64,8.67,111.94
275356.0,-0.79,0.77,0.09,15.93,5.13,109.31
275366.0,-0.67,0.75,0.04,7.26,5.43,110.84
275376.0,-0.68,0.7,0.06,1.77,8.91,112.43
275386.0,-0.63,0.77,0.02,10.44,3.91,109.8
275396.0,-0.63,0.76,0.06,4.94,7.08,110.23
275406.0,-0.68,0.79,0.03,5.37,6.96,113.1
275416.0,-0.6,0.82,0.05,6.35,6.59,110.96
275426.0,-0.56,0.7,0.05,0.61,9.16,111.63
275436.0,-0.56,0.83,0.08,10.13,5.19,111.21
275446.0,-0.65,0.83,-0.01,5.19,6.65,111.76
275456.0,-0.55,0.81,0.11,2.93,8.54,113.46
275466.0,-0.6,0.84,0.07,10.5,4.94,112.43
275476.0,-0.51,0.82,0.07,6.9,4.58,114.62
275486.0,-0.48,0.91,0.02,9.64,4.64,111.88
275496.0,-0.48,0.83,0.04,5.37,5.98,113.65
275506.0,-0.53,0.88,0.06,6.35,5.37,115.6
275516.0,-0.42,0.93,-0.04,8.36,4.88,114.32
275526.0,-0.5,0.88,0.09,5.8,5.25,116.33
275536.0,-0.4,0.89,0.02,5.07,5.07,118.41
275546.0,-0.37,0.88,-0.03,6.16,5.49,115.91
275556.0,-0.43,0.87,0.06,7.02,4.33,117.43
275566.0,-0.35,1.02,0.03,7.69,2.44,117.92
275576.0,-0.18,0.96,-0.05,6.65,5.13,111.51
275586.0,-0.23,0.97,-0.03,9.34,4.94,111.33
275596.0,-0.3,1.02,0.07,7.57,3.97,116.33
275606.0,-0.21,0.92,-0.03,5.92,3.3,115.72
275616.0,-0.09,1.06,0.03,10.44,4.76,115.3
275626.0,-0.29,0.88,0.07,0.49,3.05,119.14
275636.0,-0.06,0.97,0.06,0.79,9.77,111.15
275646.0,-0.14,1.17,0.07,13.73,4.58,113.89
275656.0,-0.12,0.93,0.03,2.75,7.32,114.93
275666.0,-0.1,0.9,0.02,1.59,6.1,117.98
275676.0,-0.22,1.02,0.06,6.04,3.05,116.27
275686.0,-0.16,0.89,0.07,-0.12,7.93,118.84
275696.0,-0.06,1.03,0.05,5.86,8.61,112.85
275706.0,-0.08,0.99,-0.01,9.03,6.53,115.17
275716.0,-0.04,0.97,0.09,2.87,8.18,114.5
275726.0,-0.03,1.0,0.03,8.18,3.91,115.91
275736.0,0.01,0.93,0.01,4.76,8.73,114.44
275746.0,-0.02,0.97,0.1,4.58,4.15,116.7
275756.0,0.1,1.05,0.07,14.77,10.99,112.79
275766.0,0.03,0.92,0.06,6.41,5.55,115.3
275776.0,0.19,0.94,0.11,2.93,6.29,115.72
275786.0,0.19,1.02,0.05,15.5,7.81,113.77
275796.0,0.12,0.96,0.08,4.39,8.79,113.95
275806.0,0.1,0.98,0.12,3.85,7.08,115.54
275816.0,0.21,1.0,0.09,13.43,9.7,113.46
275826.0,0.12,0.92,0.01,2.99,0.98,114.99
275836.0,0.23,0.95,0.04,9.58,7.69,113.46
275846.0,0.21,1.04,0.03,11.6,2.87,113.22
275856.0,0.1,0.96,0.05,4.21,0.73,114.14
275866.0,0.27,0.94,0.19,1.22,11.17,111.88
275876.0,0.44,0.98,0.01,15.69,5.31,111.45
275886.0,0.14,0.88,-0.01,1.34,-6.41,112.37
275896.0,0.31,0.86,0.16,2.75,13.49,109.92
275906.0,0.34,0.94,-0.03,19.35,9.58,112.98
275916.0,0.42,0.89,0.08,0.06,9.83,111.02
275926.0,0.32,0.88,0.03,4.94,3.85,112.49
275936.0,0.43,0.92,0.06,5.74,7.63,111.51
275946.0,0.36,0.92,-0.03,13.43,6.9,111.15
275956.0,0.44,0.8,0.07,-2.38,6.9,113.53
275966.0,0.39,0.84,0.13,4.88,3.78,112.49
275976.0,0.47,0.86,0.03,10.5,11.78,110.66
275986.0,0.51,0.86,-0.02,18.37,13.98,110.6
275996.0,0.6,0.84,0.01,16.66,16.66,109.99
276006.0,0.52,0.82,0.03,2.81,2.26,112.79
276016.0,0.64,0.83,0.15,5.07,6.71,110.41
276026.0,0.59,0.81,0.01,18.68,9.77,110.47
276036.0,0.54,0.75,0.02,2.87,4.27,110.72
276046.0,0.63,0.76,0.05,8.18,7.63,111.39
276056.0,0.6,0.78,0.04,12.94,9.89,109.74
276066.0,0.69,0.74,0.04,11.66,7.69,110.17
276076.0,0.58,0.76,-0.04,8.97,3.91,110.29
276086.0,0.63,0.73,0.05,-1.1,3.11,110.72
276096.0,0.7,0.67,0.04,4.46,5.8,110.96
276106.0,0.71,0.69,0.07,11.84,10.07,109.07
276116.0,0.67,0.69,0.01,13.18,10.25,109.68
276126.0,0.75,0.68,0.02,11.78,9.7,109.86
276136.0,0.79,0.63,0.06,4.64,6.9,109.13
276146.0,0.72,0.65,0.02,6.9,5.62,110.47
276156.0,0.72,0.63,0.05,4.21,4.7,109.74
276166.0,0.79,0.58,0.09,3.3,6.16,109.01
276176.0,0.74,0.63,0.08,7.93,6.35,109.86
276186.0,0.82,0.61,0.01,10.5,7.87,108.89
276196.0,0.75,0.56,-0.01,-4.09,-0.79,110.41
276206.0,0.79,0.5,0.1,-8.85,1.1,110.6
276216.0,0.82,0.56,0.06,11.84,13.85,107.6
276226.0,0.76,0.57,-0.0,11.66,11.84,107.85
276236.0,0.81,0.53,0.01,-1.65,3.91,109.56
276246.0,0.9,0.41,0.13,-5.07,4.09,110.17
276256.0,0.81,0.5,0.03,16.72,13.92,107.48
276266.0,0.96,0.45,-0.0,11.84,13.85,106.63
276276.0,0.85,0.56,0.11,3.17,4.09,110.05
